RAh,RAm,RAs,e_RAs,DEd,DEm,DEs,eDEs,GLON,GLAT,Si,e_Si,Pk,e_Pk,m,e_m,RM,e_RM
0,1,16.84,0.03,8,21,10.2,0.6,102.272,-52.4954,173.7,6,10.43,0.69,6.56,0.43,-23.4,9.3
0,1,17.97,0.04,31,30,55.1,0.6,110.5771,-30.1508,62.8,2.3,3.77,0.26,6.87,0.47,-34.8,15.8
0,1,18.22,0.04,-24,34,15.8,0.6,42.9133,-78.44,72.5,2.6,5.35,0.26,8.51,0.41,-10.9,10.6
0,1,18.88,0.07,54,58,52,0.8,115.7228,-7.1876,36.6,1.5,5.28,0.36,15.52,1.06,-46.4,13.7
0,1,19.06,0.04,47,42,0.8,0.6,114.2646,-14.3263,240,7.2,10.88,0.3,4.64,0.13,-62.2,5.2
0,1,19.63,0.04,41,53,10,0.6,113.0353,-20.0207,556.2,18.8,5.2,0.31,1.08,0.06,-68.1,13.7
0,1,21.39,0.04,44,40,27.4,0.6,113.6404,-17.2921,285,8.6,6.16,0.28,2.17,0.1,-30.3,10.5
0,1,24.22,0.06,60,22,59.5,0.6,116.7841,-1.89,119.1,3.6,9.3,0.39,8.06,0.34,-102.5,9
0,1,24.49,0.03,-4,38,1.4,0.6,92.7941,-64.5371,632.2,19,12.35,0.27,1.96,0.04,11.3,6
0,1,24.56,0.03,-20,40,5.6,0.6,59.7392,-76.8782,168.9,5.1,7.82,0.33,4.74,0.2,4.2,9.2
0,1,25.57,0.03,9,36,18.6,0.7,102.9623,-51.3171,142.9,4.6,6.38,0.29,7.25,0.33,11.8,9.8
0,1,26.2,0.06,60,1,9.8,0.6,116.7179,-2.2478,192.3,6.5,11.84,0.38,7.18,0.23,-120.2,7.4
0,1,29.82,0.05,41,4,32.4,0.6,112.8906,-20.8204,54.1,2,5.22,0.29,10.12,0.56,-65.5,12.7
0,1,30.95,0.03,11,1,40.6,0.6,103.6767,-49.9682,693.2,20.8,7.33,0.28,1.12,0.04,39.1,7.7
0,1,32.28,0.03,24,2,31.1,0.6,108.5472,-37.432,359.2,10.8,20,0.27,5.78,0.08,-53.9,2.8
0,1,32.51,0.04,-10,58,28.3,0.6,84.5435,-70.0338,58.1,2.1,3.54,0.3,6.64,0.56,9.4,17.7
0,1,32.72,0.03,14,56,9.3,0.6,105.3746,-46.228,314.6,11.1,15.71,0.27,5.46,0.09,-34.9,3.8
0,1,33.77,0.05,-31,3,34.3,0.7,10.1249,-78.4256,30,1,4.67,0.3,15.46,0.99,24.6,13.6
0,1,34.15,0.04,-10,57,2.9,0.7,84.5989,-70.0179,49.4,1.9,5.3,0.25,12.56,0.59,0.6,12.1
0,1,35.12,0.03,19,25,7.4,0.6,107.0591,-41.9114,107.2,3.8,7.39,0.31,7.88,0.33,-42.6,9.4
0,1,41.73,0.04,39,46,23.5,0.6,112.6416,-22.1026,360.5,11.9,10.08,0.29,3.29,0.09,-124.1,6.2
0,1,44.12,0.03,6,7,33.4,0.6,101.2362,-54.6386,177.2,6.2,13.38,0.37,12.13,0.34,-2.6,5.6
0,1,46.79,0.06,39,46,10.6,0.8,112.6579,-22.1094,23.3,0.8,3.35,0.27,4.39,0.35,-133.6,19.8
0,1,48.08,0.04,32,55,28.6,0.6,111.0534,-28.7997,80.6,2.9,4.98,0.25,6.32,0.32,-56.2,10.6
0,1,53.37,0.04,-30,25,8.5,0.6,13.1432,-78.662,173.8,5.2,10.74,0.29,6.39,0.17,-0.1,6.2
0,1,54.99,0.03,2,4,53.1,0.6,98.7616,-58.4472,300.7,9.7,7.77,0.36,3.29,0.15,-14.9,10.5
